,noun,gender,plural,type
0,градинар,m,градинари,work-person
1,бригада,f,бригади,work-person
2,цвете,n,цветя,(flower)-object-cover
3,къща,f,къщи,object-place-room
4,рибар,m,рибари,work-person
5,риба,f,риби,animal-food
6,мида,f,миди,animal-food
7,дете,n,деца,person
8,топка,f,топки,object
9,спортист,m,спортисти,person-work
10,елен,m,елени,animal-food
11,площадка,f,площадки,object-place
12,леха,f,лехи,object-place-garden
13,теменужка,f,теменужки,object-flower-cover
14,минзухар,m,минзухари,object-flower-cover
15,асфалт,m,асфалт,object-cover
16,стая,f,стаи,object-place-room
17,дърво,n,дървета,object-cover-(tree)
18,липа,f,липи,object-cover-tree
19,роза,f,рози,object-cover-flower
20,бор,m,бора,object-cover-tree
21,задача,f,задачи,object-work
22,улица,f,улици,object-place
23,детелина,f,детелини,object-cover-flower
24,череша,f,череши,object-food-tree-ingredient-crop
25,ябълка,f,ябълки,object-food-tree-ingredient-crop
26,картоф,m,картофи,object-food-ingredient-crop
27,праскова,f,праскови,object-food-tree-ingredient-crop
28,ловец,m,ловци,work-person
29,глиган,m,глигана,animal-food
30,пица,f,пици,food-food_slice
31,играчка,f,играчки,object
32,инженер,m,инженери,work-person
33,кола,f,коли,object-vehicle
34,колело,n,колела,object-vehicle
35,телевизия,f,телевизия,concept
36,книга,f,книги,(books)-object
37,писател,m,писатели,person-work
38,мъж,m,мъже,person
39,жена,f,жени,person
40,чанта,f,чанти,object
41,акула,f,акули,animal-food
42,обувка,f,обувки,object-clothes
43,панталон,m,панталони,object-clothes
44,риза,f,ризи,object-clothes
45,лале,m,лалета,object-flower-cover
46,патица,f,патици,animal-food-bird
47,кокошка,f,кокошки,animal-food-bird-animal_farm
48,яйце,n,яйца,food
49,пуйка,f,пуйки,animal-food-bird-animal_farm
50,влак,m,влакове,vehicle
51,автобус,m,автобуси,vehicle
52,Сан Франциско,m,Сан Франциско,city-area
53,София,m,София,city-area
54,Варна,m,Варна,city-area
55,Лондон,m,Лондон,city-area
56,самолет,m,самолети,vehicle
57,домат,m,домати,object-food-ingredient-crop
58,торта,f,торти,food-food_slice-baked
59,пай,m,пайове,food-food_slice-baked
60,фъстък,m,фъстъци,food-ingredient
61,бадеми,m,бадеми,food-ingredient
62,орех,m,орехи,food-ingredient
63,лешник,m,лешници,food-ingredient
64,басейн,m,басейни,container
65,кутия,f,кутии,object-container-handmade
66,чаша,f,чаши,object-container-handmade
67,сено,m,сена,crop
68,кон,m,коне,animal-animal_farm
69,прасе,m,прасета,animal-animal_farm
70,крава,f,крави,animal-animal_farm
71,заек,m,зайци,animal-animal_farm
72,морков,m,моркови,crop-food-ingredient
73,зелка,f,зелки,crop-food-ingredient
74,ряпа,f,репи,crop-food-ingredient
75,чушка,m,чушки,crop-food-ingredient
76,казан,m,казани,object-container
77,катерене,s,катерене,sport
78,ски,n,ски,sport
79,бягане,n,бягане,sport
80,голф,n,голф,sport
81,вода,f,води,liquid
82,дизел,m,дизел,liquid
83,бензин,m,бензин,liquid
84,кока-кола,f,кока-коли,drink
85,сок,m,сокове,drink
86,вино,s,вина,drink
87,уиски,s,уискита,drink
88,чай,m,чая,drink
89,списание,n,списания,book-object
90,учебник,m,учебници,book-object
91,шапка,f,шапки,clothes-object
92,квартал,m,квартали,area
93,комплекс,m,комплекси,area
94,блок,m,блокове,place
95,град,m,градове,area
96,село,m,села,area
97,пресечка,f,пресечки,place
98,кооперация,f,кооперации,area
99,щат,m,щати,area
100,община,f,общини,area
101,магазин,m,магазин,place
102,вход,m,входа,place
103,гердан,m,гердани,handmade
104,гривна,f,гривни,handmade
105,рокля,f,рокли,handmade
106,икона,f,икони,handmade
107,купа,f,купи,handmade-container
108,картина,f,картини,handmade
109,колан,m,колани,handmade-clothes
110,мъфин,m,мъфини,baked-food
111,градина,f,градини,place-garden
