,m,f,n,pl,type
0,син,синя,синьо,сини,color
1,зелен,зелена,зелено,зелени,color
2,червен,червена,червено,червени,color
3,жълт,жълта,жълто,жълти,color
4,правоъгълен,правоъгълна,правоъгълно,правоъгълни,shape
5,триъгълен,триъгълна,триъгълно,триъгълни,shape
6,кръгъл,кръгла,кръгло,кръгли,shape
7,раиран,раирана,раирано,раирани,pattern
8,едър,едра,едро,едри,size
9,малък,малка,малко,малки,size
10,голям,голяма,голямо,големи,size
11,асфалтиран,асфалтирана,асфалтирано,асфалтирани,material
12,павиран,павирана,павирано,павирани,material
